Step,AgentID,FirmType,Profit,IncomeBracket,NumPeople,SpendRatio,IncomeTaxRate,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare
7,2,necessity,-2672078.8091120287,,,,,,,,,
7,3,necessity,-1628235.2042909632,,,,,,,,,
7,4,necessity,-2052076.928370357,,,,,,,,,
7,5,necessity,-3251684.4266378633,,,,,,,,,
7,6,necessity,-2513530.3433803036,,,,,,,,,
7,7,necessity,-2531202.043823141,,,,,,,,,
7,8,necessity,-2564765.6649194574,,,,,,,,,
7,9,necessity,-1605548.4690307248,,,,,,,,,
7,10,necessity,-2723607.7201912757,,,,,,,,,
7,11,necessity,-2535200.0504547204,,,,,,,,,
7,12,necessity,-1587850.5756606157,,,,,,,,,
7,13,necessity,-1651115.1388065564,,,,,,,,,
7,14,necessity,-2900132.329001141,,,,,,,,,
7,15,necessity,-2490085.9601390543,,,,,,,,,
7,16,necessity,-1647974.5157347606,,,,,,,,,
7,17,necessity,-1947231.2689229595,,,,,,,,,
7,18,necessity,-2048408.697851316,,,,,,,,,
7,19,necessity,-1829964.1047756847,,,,,,,,,
7,20,necessity,-3080091.6759013557,,,,,,,,,
7,21,necessity,-2545819.1718588374,,,,,,,,,
7,22,necessity,-2518242.7207720224,,,,,,,,,
7,23,necessity,-1372078.3449320227,,,,,,,,,
7,24,necessity,-1175530.1865281698,,,,,,,,,
7,25,necessity,-1505225.8795686262,,,,,,,,,
7,26,necessity,-1662602.5079018916,,,,,,,,,
7,27,necessity,-1742049.232226309,,,,,,,,,
7,28,necessity,-2471282.148810977,,,,,,,,,
7,29,necessity,-2904601.4316861858,,,,,,,,,
7,30,necessity,-1603428.3719318332,,,,,,,,,
7,31,necessity,-2568771.2327886634,,,,,,,,,
7,32,luxury,-851919.4744617977,,,,,,,,,
7,33,luxury,-891679.9541593319,,,,,,,,,
7,34,luxury,-927607.8817925256,,,,,,,,,
7,35,luxury,-1534545.9553649428,,,,,,,,,
7,36,luxury,-2407507.2406302956,,,,,,,,,
7,37,luxury,-1448826.348885984,,,,,,,,,
7,38,luxury,-2404973.1340044285,,,,,,,,,
7,39,luxury,-1370921.5568438442,,,,,,,,,
7,40,luxury,-1868148.8139021436,,,,,,,,,
7,41,luxury,-1378378.9417461217,,,,,,,,,
7,42,luxury,-2142438.1299845157,,,,,,,,,
7,43,luxury,-1509102.8508328032,,,,,,,,,
7,44,luxury,-655448.8107511632,,,,,,,,,
7,45,luxury,-2731521.2572935433,,,,,,,,,
7,46,luxury,-611853.4681966422,,,,,,,,,
7,47,luxury,-1630173.6061861592,,,,,,,,,
7,48,luxury,-892780.7924915468,,,,,,,,,
7,49,luxury,-1653420.2902414391,,,,,,,,,
7,50,luxury,-1735107.6942824223,,,,,,,,,
7,51,luxury,-803207.7044223988,,,,,,,,,
8,2,necessity,-2672078.8091120287,,,,,,,,,
8,3,necessity,-1628235.2042909632,,,,,,,,,
8,4,necessity,-2052076.928370357,,,,,,,,,
8,5,necessity,-3251684.4266378633,,,,,,,,,
8,6,necessity,-2513530.3433803036,,,,,,,,,
8,7,necessity,-2531202.043823141,,,,,,,,,
8,8,necessity,-2564765.6649194574,,,,,,,,,
8,9,necessity,-1605548.4690307248,,,,,,,,,
8,10,necessity,-2723607.7201912757,,,,,,,,,
8,11,necessity,-2535200.0504547204,,,,,,,,,
8,12,necessity,-1587850.5756606157,,,,,,,,,
8,13,necessity,-1651115.1388065564,,,,,,,,,
8,14,necessity,-2900132.329001141,,,,,,,,,
8,15,necessity,-2490085.9601390543,,,,,,,,,
8,16,necessity,-1647974.5157347606,,,,,,,,,
8,17,necessity,-1947231.2689229595,,,,,,,,,
8,18,necessity,-2048408.697851316,,,,,,,,,
8,19,necessity,-1829964.1047756847,,,,,,,,,
8,20,necessity,-3080091.6759013557,,,,,,,,,
8,21,necessity,-2545819.1718588374,,,,,,,,,
8,22,necessity,-2518242.7207720224,,,,,,,,,
8,23,necessity,-1372078.3449320227,,,,,,,,,
8,24,necessity,-1175530.1865281698,,,,,,,,,
8,25,necessity,-1505225.8795686262,,,,,,,,,
8,26,necessity,-1662602.5079018916,,,,,,,,,
8,27,necessity,-1742049.232226309,,,,,,,,,
8,28,necessity,-2471282.148810977,,,,,,,,,
8,29,necessity,-2904601.4316861858,,,,,,,,,
8,30,necessity,-1603428.3719318332,,,,,,,,,
8,31,necessity,-2568771.2327886634,,,,,,,,,
8,32,luxury,-851919.4744617977,,,,,,,,,
8,33,luxury,-891679.9541593319,,,,,,,,,
8,34,luxury,-927607.8817925256,,,,,,,,,
8,35,luxury,-1534545.9553649428,,,,,,,,,
8,36,luxury,-2407507.2406302956,,,,,,,,,
8,37,luxury,-1448826.348885984,,,,,,,,,
8,38,luxury,-2404973.1340044285,,,,,,,,,
8,39,luxury,-1370921.5568438442,,,,,,,,,
8,40,luxury,-1868148.8139021436,,,,,,,,,
8,41,luxury,-1378378.9417461217,,,,,,,,,
8,42,luxury,-2142438.1299845157,,,,,,,,,
8,43,luxury,-1509102.8508328032,,,,,,,,,
8,44,luxury,-655448.8107511632,,,,,,,,,
8,45,luxury,-2731521.2572935433,,,,,,,,,
8,46,luxury,-611853.4681966422,,,,,,,,,
8,47,luxury,-1630173.6061861592,,,,,,,,,
8,48,luxury,-892780.7924915468,,,,,,,,,
8,49,luxury,-1653420.2902414391,,,,,,,,,
8,50,luxury,-1735107.6942824223,,,,,,,,,
8,51,luxury,-803207.7044223988,,,,,,,,,
9,2,necessity,-2672078.8091120287,,,,,,,,,
9,3,necessity,-1628235.2042909632,,,,,,,,,
9,4,necessity,-2052076.928370357,,,,,,,,,
9,5,necessity,-3251684.4266378633,,,,,,,,,
9,6,necessity,-2513530.3433803036,,,,,,,,,
9,7,necessity,-2531202.043823141,,,,,,,,,
9,8,necessity,-2564765.6649194574,,,,,,,,,
9,9,necessity,-1605548.4690307248,,,,,,,,,
9,10,necessity,-2723607.7201912757,,,,,,,,,
9,11,necessity,-2535200.0504547204,,,,,,,,,
9,12,necessity,-1587850.5756606157,,,,,,,,,
9,13,necessity,-1651115.1388065564,,,,,,,,,
9,14,necessity,-2900132.329001141,,,,,,,,,
9,15,necessity,-2490085.9601390543,,,,,,,,,
9,16,necessity,-1647974.5157347606,,,,,,,,,
9,17,necessity,-1947231.2689229595,,,,,,,,,
9,18,necessity,-2048408.697851316,,,,,,,,,
9,19,necessity,-1829964.1047756847,,,,,,,,,
9,20,necessity,-3080091.6759013557,,,,,,,,,
9,21,necessity,-2545819.1718588374,,,,,,,,,
9,22,necessity,-2518242.7207720224,,,,,,,,,
9,23,necessity,-1372078.3449320227,,,,,,,,,
